OrderQuantity,Sales,Discount,Profit,UnitPrice,ShippingCost,Region,ProductCategory,ProductSub-Category,ProductBaseMargin
6,261.54,0.04,-213.25,38.94,35,Central,Office Supplies,Storage & Organization,0.8
2,6.93,0.01,-4.64,2.08,2.56,West,Office Supplies,"Scissors, Rulers and Trimmers",0.55
26,2808.08,0.07,1054.82,107.53,5.81,West,Furniture,Office Furnishings,0.65
24,1761.4,0.09,-1748.56,70.89,89.3,West,Furniture,Tables,0.72
23,160.2335,0.04,-85.13,7.99,5.03,West,Technology,Telephones and Communication,0.6
15,140.56,0.04,-128.38,8.46,8.99,South,Technology,Computer Peripherals,0.79
30,288.56,0.03,60.72,9.11,2.25,Central,Office Supplies,Pens & Art Supplies,0.52
14,1892.848,0.01,48.99,155.99,8.99,Central,Technology,Telephones and Communication,0.58
46,2484.7455,0.1,657.48,65.99,4.2,West,Technology,Telephones and Communication,0.55
32,3812.73,0.02,1470.3,115.79,1.99,Central,Technology,Computer Peripherals,0.49
41,108.15,0.09,7.57,2.88,0.7,West,Office Supplies,Pens & Art Supplies,0.56
42,1186.06,0.09,511.69,30.93,3.92,South,Furniture,Office Furnishings,0.44
28,51.53,0.03,0.35,1.68,0.7,South,Office Supplies,Pens & Art Supplies,0.6
48,90.05,0.03,-107,1.86,2.58,East,Office Supplies,Rubber Bands,0.82
46,7804.53,0.05,2057.17,205.99,5.99,East,Technology,Telephones and Communication,0.59
37,4158.1235,0.01,1228.89,125.99,8.99,South,Technology,Telephones and Communication,0.55
26,75.57,0.03,28.24,2.89,0.5,West,Office Supplies,Labels,0.38
4,32.72,0.09,-22.59,6.48,8.19,Central,Office Supplies,Paper,0.37
3,461.89,0.05,-309.82,150.98,13.99,South,Technology,Office Machines,0.38
29,575.11,0.02,71.75,18.97,9.03,South,Office Supplies,Paper,0.37
23,236.46,0.05,-134.31,9.71,9.45,South,Office Supplies,Storage & Organization,0.6
27,192.814,0.03,-86.2,7.99,5.03,East,Technology,Telephones and Communication,0.6
30,4011.65,0.05,-603.8,130.98,54.74,East,Furniture,Bookcases,0.69
11,1132.6,0.01,-310.21,95.99,35,Central,Office Supplies,Storage & Organization,
25,125.85,0.09,-89.25,4.98,4.62,East,Technology,Computer Peripherals,0.64
10,567.936,0.02,-126.09,65.99,8.99,South,Technology,Telephones and Communication,0.55
14,174.89,0.06,-37.04,12.44,6.27,East,Office Supplies,Storage & Organization,0.57
49,329.03,0.1,-197.25,7.28,7.98,West,Furniture,Office Furnishings,0.42
6,20.19,0.04,-13.44,3.14,1.92,West,Office Supplies,"Scissors, Rulers and Trimmers",0.84
34,1315.74,0.03,260.87,36.55,13.89,West,Office Supplies,Pens & Art Supplies,0.41
23,310.52,0.01,33.22,12.98,3.14,South,Office Supplies,"Scissors, Rulers and Trimmers",0.6
25,184.86,0.09,-33.95,7.38,5.21,West,Furniture,Office Furnishings,0.56
44,267.85,0.04,-65.43,5.98,5.15,West,Office Supplies,Paper,0.36
33,528.5,0.04,-149.92,15.42,10.68,West,Office Supplies,Storage & Organization,0.58
24,126.58,0.06,18.27,5.58,0.7,East,Office Supplies,Pens & Art Supplies,0.6
1,23.7,0.05,-8.97,19.84,4.1,East,Office Supplies,Pens & Art Supplies,0.44
43,586.11,0.11,98.44,12.64,4.98,Central,Furniture,Office Furnishings,0.48
24,599.1,0.02,3.82,24.92,12.98,South,Office Supplies,Binders and Binder Accessories,0.39
47,2029.75,0.06,320.37,43.98,8.99,Central,Office Supplies,Pens & Art Supplies,0.58
11,1118.396,0.06,-212.33,125.99,8.08,Central,Technology,Telephones and Communication,0.57
2,689.74,0.06,-490.84,363.25,19.99,South,Office Supplies,Appliances,0.57
21,154.35,0,-91.14,6.48,8.74,East,Office Supplies,Paper,0.36
7,201.36,0,-284.4,20.98,53.03,East,Office Supplies,Storage & Organization,0.78
33,216.77,0.02,-55.11,6.54,5.27,East,Office Supplies,Binders and Binder Accessories,0.36
47,5677.609,0.04,1680.79,140.99,4.2,Central,Technology,Telephones and Communication,0.59
25,136.77,0.09,-136.25,5.4,7.78,West,Office Supplies,Binders and Binder Accessories,0.37
24,188.73,0.05,-32.48,7.64,5.83,East,Office Supplies,Paper,0.36
43,412.62,0.08,175.54,9.9,1.39,South,Office Supplies,Envelopes,0.37
49,10123.02,0.07,457.81,208.16,68.02,Central,Office Supplies,Appliances,0.58
27,244.57,0.01,46.71,8.69,2.99,Central,Office Supplies,Binders and Binder Accessories,0.39
35,6375.28,0.06,489.02,193.17,19.99,Central,Office Supplies,Storage & Organization,0.71
20,2634.8555,0.08,257.76,155.99,8.08,Central,Technology,Telephones and Communication,0.6
46,281,0.1,-291.59,6.48,10.05,Central,Office Supplies,Paper,0.37
20,108.09,0.07,25.76,5.68,1.39,West,Office Supplies,Envelopes,0.38
2,55.34,0.06,-31.24,22.84,11.54,West,Office Supplies,Paper,0.39
25,3872.634,0.02,667.33,179.99,13.99,South,Technology,Telephones and Communication,0.57
9,884.1275,0.06,-178.71,115.99,4.23,East,Technology,Telephones and Communication,0.56
34,218.27,0.03,-44.14,5.99,4.92,East,Office Supplies,Binders and Binder Accessories,0.38
17,100.95,0.05,-21.3,5.81,3.37,East,Office Supplies,Rubber Bands,0.54
21,46.94,0.02,3.88,2.21,1,West,Office Supplies,Pens & Art Supplies,0.38
16,1239.6315,0,-172.55,85.99,0.99,Central,Technology,Telephones and Communication,0.85
33,1640.9,0.02,-1348.06,48.58,54.11,West,Furniture,Bookcases,0.69
33,1235.87,0.07,269.27,39.48,1.99,West,Technology,Computer Peripherals,0.54
30,3659.66,0.08,-500.38,124.49,51.94,West,Furniture,Tables,0.63
50,7666.04,0.02,-1820.84,146.05,80.2,West,Furniture,Tables,0.71
4,14.96,0.02,-0.03,3.69,0.5,East,Office Supplies,Labels,0.38
4,15.69,0.09,-1.59,3.85,0.7,East,Office Supplies,Pens & Art Supplies,0.44
46,517.93,0.06,-94.73,11.7,6.96,Central,Office Supplies,Appliances,0.5
20,1156.6715,0.01,88.52,65.99,7.69,East,Technology,Telephones and Communication,0.59
39,15260.78,0.07,8734.88,500.98,28.14,West,Technology,Office Machines,0.38
3,540.41,0.1,-170.98,178.47,19.99,West,Office Supplies,Storage & Organization,0.55
8,43.29,0.09,-20.69,4.98,4.86,West,Office Supplies,Paper,0.38
6,41.7,0.03,-14.56,5.78,5.37,West,Office Supplies,Paper,0.36
